workerid,proliferate.condition,anger,anger_cause,break,break_cause,warmup_crumble,warmup_switch,error
127,physical_physical_present,The dark skin girl,The dark skin girl,The dark skin girl,The dark skin girl pushing the light skin girl on the tower,Yes,Yes,
103,physical_physical_present,Amy,Amy,Kate,Amy,yes,no,
171,physical_physical_present,Kate and Amy but I don't recall which one fell on it,Kate and Amy knocked his tower over,Amy and Kate but I don't know which one fell on it,Kate and Amy but I don't know which one fell on it,"Yes, the tower will fall in this case too","Yes, the tower will fall",
167,physical_physical_present,"Both, but more so Kate",Kate and Amy but mostly Kate for breaking it,Kate,Kate,Yes,Yes,
143,physical_physical_present,The two girls messing around angered Ben.,Amy caused him to be angry because she pushed Kate into the tower. ,Kate did.,Kate caused the tower to break because she fell. ,"Yes, it will fall.",The magnets on the tower will fall. ,
111,physical_physical_present,Amy,Amy,Amy,Amy,no,yes,
131,physical_physical_present,Kate,Because Kate knocked over the tower,Kate broke the tower,Amy did,Yes it will,"No, the tower will stand",
147,physical_physical_present,"Both girls, one for pushing the other girl, and one for breaking the tower when she fell.","Both little girls, for different reasons",The little girl who fell on it,The little girl that fell on the tower caused it to break directly; the girl who pushed her caused it to break indirectly,Yes,Yes,
139,physical_physical_present,Amy,Amy,Amy,amy,yes,yes,
107,physical_physical_present,Amy and Kate angered Ben.,Amy caused Ben to be angry.,Amy and Kate,Amy,"Yes, the tower will fall.","Yes, the tower will fall.",
186,physical_physical_present,Kate and Amy,the tower was broken,Amy,Amy,yes,yes,
173,physical_physical_present,Both Kate & Amy,Both Kate & Amy,Kate,Amy,Yes,Yes,
181,physical_physical_present,Amy,Amy,Kate and Amy,Amy,Yes,Yes,
177,physical_physical_present,purple shirt girl,the purple shirt girl,the overall girl that pushed the purple shirt girl into it,the purple shirt girl falling on it broke it,yes the tower will fall,yes it will fall,
115,physical_physical_present,Amy,Amy,Kate,Amy,yes,yes,
159,physical_physical_present,Amy angered Ben.,"Amy pushed Kate into the tower and broke it, so Amy cause Ben to be angry.",Amy cause the Tower to break.,Amy pushed Kate into the tower and cause it to break.,"Yes, if Ben say crumble the tower will also fall.","Yes, If Ben flips the switch the tower will fall.",
123,physical_physical_present,kate,kate,kate when she was pushed by amy,amy pushing kate,yes,"yes
",
187,physical_physical_absent,Ben is just angry - the girls aren't angry.  Ben needs a nap.,Ben is a little spoiled - it was an accident - one girl pushed the other.... they are kids - it happens.,Ben is a bit selfish - so what if the tower fell without him telling the tower to fall.  It was an accident - suck it up!,Ben's girls possibly will not come back to visit with his attitude.  It isn't broken - it's supposed to fall....,"Ben knows if he says crumble, his tower will fall..everytime!",Ben has his toy controlled to do exactly what he wants.  He is proud of his toy and likes to demonstrate how it works.  Ben is proud.,
132,physical_physical_absent,Amy,Amy,Amy,Amy,yes,yes,
152,physical_physical_absent,Kate and Amy,Kate and Amy,Kate and Amy,Kate and Amy,yes,yes,
112,physical_physical_absent,Both girls,both girls,The white girl.,The black girl.,Yes,Yes,
144,physical_physical_absent,Amy angered Ben by causing the events that broke the tower,"Ben was angry because the tower was broken, after he tod the girls not to beak it.",Kate broke the tower by falling into it,Amy caused the tower to break,yes,Yes the tower will fall,
184,physical_physical_absent,Kate and Amy,Amy,"Amy because she pushes Kate and Kate falls into the tower.
",Amy,yes the tower will fall.,No. But if he says crumble  the tower falls.,
136,physical_physical_absent,The broken tower,Amy caused it by pushing Kate into the tower,Amy did by pushing Kate into it,Kate,yes,Yes,
108,physical_physical_absent,amy,amy,amy,amy,yes,yes,
104,physical_physical_absent,Both of his friends?,His Tower was broken,Ashly,Kate because she pushed Ashly,Yes,Yes,
128,physical_physical_absent,Amy,Amy,Amy broke the tower because she caused Kate to fall,Amy pushed Kate so its her fault,Yes,Yes the tower will fall,
172,physical_physical_absent,Amy and Katie,Amy and Katie,Amy,Amy,"Yes, the tower will fall.","Yes, the tower will fall.",
140,physical_physical_absent,kate,kate,kate,kate,yes,yes,
160,physical_physical_absent,the girl that fell on the tower or both of them one pushed her,the girl falling on the tower,the girl that was pushed,"her falling on the tower, I forget her name",Yes it will fall,Yes it will fall,
180,physical_physical_absent,Kate and somewhat Amy,Kate and somewhat Amy,Kate,Kate,"yes, it can 'hear'","yes, the tower will fall or crumble",
164,physical_physical_absent,The two girls,The two girls,The girls,"The girls
",yes,yes,
124,physical_physical_absent,Both of them,Both girls,Both girls.,The girl in the overalls.,Yes,Yes,
168,physical_physical_absent,the girls,Amy,the girls,Amy,yes,yes,
176,physical_physical_absent,Amy,Amy,Kate,Amy,Yes,Yes,
188,physical_physical_absent,"Both of the girls, he suspect one or both broke the tower.",The fact the tower got broken after he left.,The girl with the red hair thing attacked the other girl causing the tower to break. ,She pushed the girl down and into the tower causing it to break. ,"Yep, this will also cause the tower to fall. ",Yes it will fall. ,
120,physical_physical_absent,Amy.,Kate.,Kate.,Amy.,Yes.,Yes.,
156,physical_physical_absent,amy,amy,amy,amy,yes,yes,
148,physical_physical_absent,Amy & Kate,Amy,Amy & Kate,Amy,yes,yes,
137,mental_mental_present,kate,amy,kate,amy,yes,Yes,
153,mental_mental_present,The white girl with long hair.,The brown girl with two buns on her hair.,The girl with long hair.,The girl with long hair.,yes,yes,
145,mental_mental_present,amy,the tower falling,amy,amy,yes,yes,
149,mental_mental_present,Amy,Kate,Kate,Kate,yes,yes,
113,mental_mental_present,Amy,Amy,Amy,Amy,Yes,Yes,
125,mental_mental_present,Amy,Amy,Amy,The other girls name I can't remember,Yes,Yes,
182,mental_mental_present,Kate (purple),Both of the girls together ,Kate (the girl in the purple sweatshirt),Amy (the girl in the red shirt),Yes,Yes,
174,mental_mental_present,second girl,first girl,both girls,both girls,yes,yes,
141,mental_mental_present,kate,kate,kate,kate,yes,yes,
121,mental_mental_present,Amy,Amy,Amy,Amy,Yes,Yes,
105,mental_mental_present,Amy,Amy,Amy,"Amy, indirectly",Yes,Yes,
117,mental_mental_present,amy did,amy made ben angry,kate,kate,yes the tower will fall,yes the tower will fall,
109,mental_mental_present,Kate and Amy angered Ben. ,Ben was angry because the tower broke. ,Kate broke the tower. ,"Kate caused the tower to break because Amy told her to say ""crumble"".",Yes the tower will fall because it recognizes his voice. ,Yes the tower will fall because the magnets will stop working and holding the blocks together. ,
129,mental_mental_present,both girls,both girls,kate,kate,yes,yes,
169,mental_mental_present,girl in overalls,the girl in overalls,girl in overalls,girl in overalls,yes,yes,
165,mental_mental_present,Kate,Amy,Kate,Amy,Yes,Yes,
161,mental_mental_present,Kate ,Kate,Kate,Kate,Yes,Yes,
133,mental_mental_present,Amy,Amy,Kate,Kate,Yes,Yes. The blocks will no longer be magnetized.,
178,mental_mental_present,Kate and AMy,Kate and Amy,"Kate
",Kate did by saying crumble but any lied and told her to,yes,yes,
157,mental_mental_present,Amy,Amy,Kate,Amy,Yes,Yes,
